SITE_NAME,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,PARISH
SANDFORD SCHOOL,,SANDFORD,CREDITON,DEVON,EX174NE,Sandford CP
SEATON PRIMARY SCHOOL,VALLEY VIEW,,SEATON,DEVON,EX122HF,Seaton CP
SHUTE COMMUNITY PRIMARY SCHOOL,HADDON ROAD,SHUTE,AXMINSTER,DEVON,EX137QR,Shute CP
BOLHAM COMMUNITY PRIMARY SCHOOL,,BOLHAM,TIVERTON,DEVON,EX167RA,Tiverton CP
HEATHCOAT PRIMARY SCHOOL,BROAD LANE,,TIVERTON,DEVON,EX165HE,Tiverton CP
UFFCULME PRIMARY SCHOOL-MAIN SCHOOL SITE,ASHLEY ROAD,UFFCULME,CULLOMPTON,DEVON,EX153AY,Uffculme CP
UFFCULME PRIMARY SCHOOL-MASONIC HALL CAR PARK,ASHLEY ROAD,UFFCULME,CULLOMPTON,DEVON,EX153AY,Uffculme CP
UPOTTERY PRIMARY,,UPOTTERY,HONITON,DEVON,EX149QT,Upottery CP
WHIMPLE PRIMARY SCHOOL-MAIN SCHOOL SITE,,WHIMPLE,EXETER,DEVON,EX52TS,Whimple CP
WHIMPLE PRIMARY SCHOOL-VICTORY HALL SITE,,WHIMPLE,EXETER,DEVON,EX52TS,Whimple CP
WHIMPLE PRIMARY SCHOOL-GREAT MEAD ORCHARD SITE,,WHIMPLE,EXETER,DEVON,EX52TS,Whimple CP
WILLAND SCHOOL,GABLES ROAD,WILLAND,CULLOMPTON,DEVON,EX152QL,Willand CP
YEOFORD COMMUNITY PRIMARY SCHOOL,,YEOFORD,CREDITON,DEVON,EX175HZ,Crediton Hamlets CP
LANDSCORE PRIMARY SCHOOL,,THRESHERS,CREDITON,DEVON,EX173JH,Crediton CP
BOWHILL PRIMARY SCHOOL-MAIN SCHOOL SITE,BUDDLE LANE,ST THOMAS,EXETER,DEVON,EX41JT,Exeter
BOWHILL PRIMARY SCHOOL-BARTON PLAYING FIELD,BUDDLE LANE,ST THOMAS,EXETER,DEVON,EX41JT,Exeter
TIDCOMBE PRIMARY SCHOOL,MARINA WAY,,TIVERTON,DEVON,EX164BP,Tiverton CP
WILLOWBANK PRIMARY SCHOOL-MAIN SCHOOL SITE,MANITOBA GARDENS,,CULLOMPTON,DEVON,EX151EZ,Cullompton CP
